id,university_name,graduation_year,major_name,degree,employment_rate,employment_type,industry,province,city,salary_min,salary_max,salary_avg,salary_true,achievement_rate,data_source
1,东北大学,2023,公共管理,博士,100.0,高校/科研,科学研究,湖南省,株洲市,8365,11830,10097.5,9100,0.901,东北大学_2023届毕业生就业质量报告
2,东北大学,2023,公共管理,博士,100.0,企业就业,商务服务,辽宁省,沈阳市,15271,19337,17304.0,16400,0.948,东北大学_2023届毕业生就业质量报告
3,东北大学,2023,公共管理,博士,100.0,高校/科研,科学研究,北京市,北京市,14101,16509,15305.0,15500,1.013,东北大学_2023届毕业生就业质量报告
4,东北大学,2023,公共管理,博士,100.0,出国留学,教育,,,,,,,,东北大学_2023届毕业生就业质量报告
5,东北大学,2023,公共管理,博士,100.0,高校/科研,科学研究,北京市,北京市,8116,11320,9718.0,9500,0.978,东北大学_2023届毕业生就业质量报告
6,东北大学,2023,教育经济与管理,博士,100.0,高校/科研,科学研究,辽宁省,沈阳市,14720,19456,17088.0,16600,0.971,东北大学_2023届毕业生就业质量报告
7,东北大学,2023,教育经济与管理,博士,100.0,高校/科研,科学研究,辽宁省,鞍山市,15942,19227,17584.5,16800,0.955,东北大学_2023届毕业生就业质量报告
8,东北大学,2023,教育经济与管理,博士,100.0,考公,公共管理,广东省,东莞市,8429,12197,10313.0,9300,0.902,东北大学_2023届毕业生就业质量报告
9,东北大学,2023,教育经济与管理,博士,100.0,升学,教育,浙江省,杭州市,,,,,,东北大学_2023届毕业生就业质量报告
10,东北大学,2023,教育经济与管理,博士,100.0,出国留学,教育,,,,,,,,东北大学_2023届毕业生就业质量报告
11,东北大学,2023,社会保障,博士,100.0,高校/科研,科学研究,河北省,唐山市,8644,12640,10642.0,10500,0.987,东北大学_2023届毕业生就业质量报告
12,东北大学,2023,土地资源管理,博士,100.0,高校/科研,科学研究,北京市,北京市,16320,18788,17554.0,17000,0.968,东北大学_2023届毕业生就业质量报告
13,东北大学,2023,土地资源管理,博士,100.0,企业就业,商务服务,上海市,上海市,10154,12222,11188.0,11500,1.028,东北大学_2023届毕业生就业质量报告
14,东北大学,2023,行政管理,博士,100.0,企业就业,商务服务,上海市,上海市,9395,11333,10364.0,10000,0.965,东北大学_2023届毕业生就业质量报告
15,东北大学,2023,行政管理,博士,100.0,企业就业,商务服务,辽宁省,鞍山市,11410,16193,13801.5,13200,0.956,东北大学_2023届毕业生就业质量报告
16,东北大学,2023,行政管理,博士,100.0,高校/科研,科学研究,江苏省,无锡市,12972,15156,14064.0,14600,1.038,东北大学_2023届毕业生就业质量报告
17,东北大学,2023,法学,硕士,78.6,企业就业,公共管理,湖北省,武汉市,8685,12041,10363.0,9500,0.917,东北大学_2023届毕业生就业质量报告
18,东北大学,2023,法学,硕士,78.6,考公,公共管理,辽宁省,鞍山市,10341,13601,11971.0,11400,0.952,东北大学_2023届毕业生就业质量报告
19,东北大学,2023,法学,硕士,78.6,出国留学,教育,,,,,,,,东北大学_2023届毕业生就业质量报告
20,东北大学,2023,法学,硕士,78.6,企业就业,公共管理,辽宁省,鞍山市,4158,6431,5294.5,4800,0.907,东北大学_2023届毕业生就业质量报告
21,东北大学,2023,法学,硕士,78.6,升学,教育,黑龙江省,哈尔滨市,,,,,,东北大学_2023届毕业生就业质量报告
22,东北大学,2023,法学,硕士,78.6,考公,公共管理,北京市,北京市,9621,12422,11021.5,10700,0.971,东北大学_2023届毕业生就业质量报告
23,东北大学,2023,法学,硕士,78.6,出国留学,教育,,,,,,,,东北大学_2023届毕业生就业质量报告
24,东北大学,2023,法学,硕士,78.6,考公,公共管理,广东省,佛山市,7288,10945,9116.5,8900,0.976,东北大学_2023届毕业生就业质量报告
25,东北大学,2023,法学,硕士,78.6,企业就业,公共管理,辽宁省,鞍山市,13111,16942,15026.5,14100,0.938,东北大学_2023届毕业生就业质量报告
26,东北大学,2023,法学,硕士,78.6,企业就业,商务服务,辽宁省,鞍山市,3420,6781,5100.5,4700,0.921,东北大学_2023届毕业生就业质量报告
